rank,node_id,name,steps,hours,people_affected,substations_failed,cascade_size,hospitals_feeder_lost,hospitals_on_backup,hospitals_without_power,pumps_feeder_lost,pumps_without_water,unserved_load_mw,criticality_percentile
132,sub_041,HMT,5,10.0,21035,1,3,1,0,1,1,1,0.0,31.05
133,sub_128,sub_128,5,10.0,20912,1,4,3,0,3,0,0,0.0,30.53
134,sub_144,sub_144,5,10.0,20742,1,4,3,0,3,0,0,0.0,30.0
135,sub_126,Sobha Dream Acres Substation,2,4.0,20457,1,1,0,0,0,0,0,0.0,29.47
136,sub_076,sub_076,5,10.0,20445,1,4,2,0,2,1,1,0.0,28.95
137,sub_138,Nagarbhavi KPTCL,5,10.0,19120,1,14,13,0,13,0,0,0.0,28.42
138,sub_111,Banashankari,5,10.0,18649,1,24,23,0,23,0,0,0.0,27.89
139,sub_008,sub_008,5,10.0,18463,1,7,6,0,6,0,0,0.0,27.37
140,sub_009,sub_009,5,10.0,18189,1,23,19,0,19,3,3,0.0,26.84
141,sub_110,Arehalli,5,10.0,18128,1,6,5,0,5,0,0,0.0,26.32
142,sub_104,National College Substation,5,10.0,17768,1,35,32,0,32,2,2,0.0,25.79
143,sub_095,L&T Substation,5,10.0,16800,1,8,7,0,7,0,0,0.0,25.26
144,sub_101,Telecom Layout Substation,5,10.0,16573,1,28,26,0,26,1,1,0.0,24.74
145,sub_170,MUSS NGEF,5,10.0,16364,1,5,1,0,1,3,3,0.0,24.21
146,sub_130,sub_130,5,10.0,16167,1,26,21,0,21,4,4,0.0,23.68
147,sub_149,Prestige Shantiniketan Substation,5,10.0,15953,1,3,2,0,2,0,0,0.0,23.16
148,sub_190,sub_190,5,10.0,15933,1,4,3,0,3,0,0,0.0,22.63
149,sub_053,HBR Layout,5,10.0,15930,1,14,11,0,11,2,2,0.0,22.11
150,sub_082,IISc MUSS,5,10.0,15856,1,12,5,0,5,6,6,0.0,21.58
151,sub_044,CPRI,5,10.0,15331,1,11,9,0,9,1,1,0.0,21.05
152,sub_031,Domasandra Substation,2,4.0,15185,1,1,0,0,0,0,0,0.0,20.53
153,sub_064,KPTCL Power substation,5,10.0,15161,1,3,2,0,2,0,0,0.0,20.0
154,sub_115,Vikas Tech Park Substation,2,4.0,15084,1,1,0,0,0,0,0,0.0,19.47
155,sub_147,Provident Sunworth Substation,2,4.0,14985,1,1,0,0,0,0,0,0.0,18.95
156,sub_002,sub_002,5,10.0,14717,1,22,18,0,18,3,3,0.0,18.42
157,sub_010,HSR Layout Substation,5,10.0,14698,1,3,2,0,2,0,0,0.0,17.89
158,sub_063,Koramangala Substation,5,10.0,14449,1,7,6,0,6,0,0,0.0,17.37
159,sub_068,Platinum City Power Station,5,10.0,14416,1,2,1,0,1,0,0,0.0,16.84
160,sub_004,sub_004,5,10.0,14140,1,2,1,0,1,0,0,0.0,16.32
